operation,operand1,operand2,result,timestamp
Addition,10,20,30,2024-11-05T23:36:48.482083
Addition,1,1,2,2024-11-05T23:37:07.049494
Addition,20,20,40,2024-11-05T23:37:20.421355
Subtraction,20,1,19,2024-11-05T23:41:39.999936
Multiplication,20,12,240,2024-11-05T23:41:55.621078
Addition,10,20,30,2024-11-05T23:43:46.892354
Multiplication,20,12,240,2024-11-05T23:44:08.457086
Addition,2,3,5,2024-11-05T23:51:05.230428
Addition,20,3,23,2024-11-06T01:41:31.757558
Addition,2,3,5,2024-11-06T01:46:30.971686
Mod,20,20,0,2024-11-06T02:09:28.061897
Mod,10,1,0,2024-11-06T02:09:43.169401
Mod,2,3,2,2024-11-06T02:09:53.621249
Average,10,10,10,2024-11-06T02:11:10.384295
Addition,10,30,40,2024-11-06T02:12:14.833732
Addition,10,10,20,2024-11-06T02:12:26.899513
Addition,2000,2,2002,2024-11-06T02:12:38.224278
Addition,10,20,30,2024-11-07T23:15:06.016009
Average,10,20,15,2024-11-07T23:15:18.708285
Subtraction,10,2,8,2024-11-07T23:15:30.902003
Multiplication,10,2,20,2024-11-07T23:15:40.719391
